Codigo;Local;HM;HM-15:19;HM-20:24;HM-25:29;HM-30:34;HM-35:39;HM-40:44;HM-45:49;HM-50:54;HM-55:59;HM-60:64;HM-65+;H;H-15:19;H-20:24;H-25:29;H-30:34;H-35:39;H-40:44;H-45:49;H-50:54;H-55:59;H-60:64;H-65+;M;M-15:19;M-20:24;M-25:29;M-30:34;M-35:39;M-40:44;M-45:49;M-50:54;M-55:59;M-60:64;M-65+
PT;Portugal;662180;33390;87186;80904;77933;78586;74253;74279;70290;57088;27988;283;327600;17831;43187;39070;35807;35968;35140;36548;35838;31752;16352;107;334580;15559;43999;41834;42126;42618;39113;37731;34452;25336;11636;176
1;Continente;630711;31130;81467;75850;73779;74836;70978;71209;67998;55729;27459;276;309345;16588;40210;36297;33407;33780;33169;34664;34334;30815;15979;102;321366;14542;41257;39553;40372;41056;37809;36545;33664;24914;11480;174
11;Norte;254182;12360;31259;29114;27809;29626;29149;30832;30155;23780;10039;59;120019;6529;14570;13455;11988;12514;12818;14152;14616;13220;6134;23;134163;5831;16689;15659;15821;17112;16331;16680;15539;10560;3905;36
111;Minho-Lima;12330;573;1708;1560;1524;1541;1417;1381;1247;920;453;6;5892;309;810;717;678;603;630;659;638;544;302;2;6438;264;898;843;846;938;787;722;609;376;151;4
1601;Arcos de Valdevez;801;41;115;97;97;93;90;96;96;53;23;0;405;19;51;44;53;43;38;55;51;36;15;0;396;22;64;53;44;50;52;41;45;17;8;0
1602;Caminha;946;47;137;139;110;101;93;104;99;67;48;1;452;29;69;56;49;36;38;54;52;41;28;0;494;18;68;83;61;65;55;50;47;26;20;1
1603;Melgaço;283;11;55;60;27;41;26;26;26;10;1;0;136;7;20;27;13;23;16;8;15;7;0;0;147;4;35;33;14;18;10;18;11;3;1;0
1604;Monção;711;29;114;95;90;85;78;74;80;43;23;0;385;15;55;41;45;37;47;46;51;29;19;0;326;14;59;54;45;48;31;28;29;14;4;0
1605;Paredes de Coura;416;25;63;58;48;55;47;47;36;18;19;0;224;15;32;32;25;27;27;25;19;10;12;0;192;10;31;26;23;28;20;22;17;8;7;0
1606;Ponte da Barca;598;34;94;84;77;74;68;61;51;42;13;0;305;20;45;39;41;31;32;31;28;26;12;0;293;14;49;45;36;43;36;30;23;16;1;0
1607;Ponte de Lima;2236;105;278;275;294;271;259;278;200;180;95;1;1017;54;132;123;107;103;96;114;99;116;72;1;1219;51;146;152;187;168;163;164;101;64;23;0
1608;Valença;753;23;107;92;87;89;100;91;78;56;29;1;398;9;50;41;39;46;57;56;47;33;20;0;355;14;57;51;48;43;43;35;31;23;9;1
1609;Viana do Castelo;5182;242;680;607;644;688;613;568;544;413;180;3;2343;135;315;290;281;230;255;250;255;221;110;1;2839;107;365;317;363;458;358;318;289;192;70;2
1610;Vila Nova de Cerveira;404;16;65;53;50;44;43;36;37;38;22;0;227;6;41;24;25;27;24;20;21;25;14;0;177;10;24;29;25;17;19;16;16;13;8;0
112;Cávado;25980;1300;3318;3126;3117;3204;2950;2871;2912;2249;928;5;11803;683;1487;1411;1286;1221;1236;1289;1351;1221;616;2;14177;617;1831;1715;1831;1983;1714;1582;1561;1028;312;3
0301;Amares;1198;52;171;147;154;177;150;131;94;70;52;0;541;24;80;54;49;61;73;60;55;48;37;0;657;28;91;93;105;116;77;71;39;22;15;0
0302;Barcelos;7222;427;883;712;746;850;803;839;909;737;314;2;3446;230;394;359;320;360;375;375;414;392;226;1;3776;197;489;353;426;490;428;464;495;345;88;1
0303;Braga;12440;548;1527;1619;1572;1570;1393;1356;1390;1065;398;2;5591;278;709;740;665;615;547;607;633;554;242;1;6849;270;818;879;907;955;846;749;757;511;156;1
0306;Esposende;1923;89;275;217;229;215;231;184;220;167;95;1;809;48;111;93;96;59;78;74;97;91;62;0;1114;41;164;124;133;156;153;110;123;76;33;1
0310;Terras de Bouro;461;20;79;66;63;43;48;57;39;33;13;0;185;10;31;22;23;9;17;21;24;21;7;0;276;10;48;44;40;34;31;36;15;12;6;0
0313;Vila Verde;2736;164;383;365;353;349;325;304;260;177;56;0;1231;93;162;143;133;117;146;152;128;115;42;0;1505;71;221;222;220;232;179;152;132;62;14;0
